building_id,room_id,room_name,Hour,Length of Class,building_name,abbr_building_name,class_number,Full Name of Space
2,1268,210/212 Classroom Combo,915,60,Austin,AUS,210/212,AUS210/212
2,1268,210/212 Classroom Combo,540,60,Austin,AUS,210/212,AUS210/212
2,1268,210/212 Classroom Combo,465,60,Austin,AUS,210/212,AUS210/212
2,29,212 Classroom,540,60,Austin,AUS,212,AUS212
2,29,212 Classroom,465,60,Austin,AUS,212,AUS212
2,29,212 Classroom,615,60,Austin,AUS,212,AUS212
2,29,212 Classroom,690,60,Austin,AUS,212,AUS212
2,29,212 Classroom,915,60,Austin,AUS,212,AUS212
2,29,212 Classroom,840,60,Austin,AUS,212,AUS212
2,29,212 Classroom,765,60,Austin,AUS,212,AUS212
2,30,213 Classroom,690,60,Austin,AUS,213,AUS213
2,30,213 Classroom,540,60,Austin,AUS,213,AUS213
2,30,213 Classroom,765,60,Austin,AUS,213,AUS213
2,30,213 Classroom,615,60,Austin,AUS,213,AUS213
2,30,213 Classroom,840,60,Austin,AUS,213,AUS213
2,30,213 Classroom,915,60,Austin,AUS,213,AUS213
2,30,213 Classroom,465,60,Austin,AUS,213,AUS213
2,31,214 Classroom,840,60,Austin,AUS,214,AUS214
2,31,214 Classroom,765,60,Austin,AUS,214,AUS214
2,31,214 Classroom,555,120,Austin,AUS,214,AUS214
2,31,214 Classroom,915,120,Austin,AUS,214,AUS214
2,31,214 Classroom,690,60,Austin,AUS,214,AUS214
2,32,221 Classroom,915,60,Austin,AUS,221,AUS221
2,32,221 Classroom,480,120,Austin,AUS,221,AUS221
2,32,221 Classroom,690,60,Austin,AUS,221,AUS221
2,32,221 Classroom,615,60,Austin,AUS,221,AUS221
2,32,221 Classroom,765,60,Austin,AUS,221,AUS221
2,32,221 Classroom,840,60,Austin,AUS,221,AUS221
3,63,108 Classroom,690,60,Benson,BEN,108,BEN108
3,63,108 Classroom,765,60,Benson,BEN,108,BEN108
3,63,108 Classroom,615,60,Benson,BEN,108,BEN108
3,63,108 Classroom,840,60,Benson,BEN,108,BEN108
3,63,108 Classroom,1020,120,Benson,BEN,108,BEN108
3,63,108 Classroom,540,60,Benson,BEN,108,BEN108
3,63,108 Classroom,960,60,Benson,BEN,108,BEN108
3,757,108/110 Classroom,540,60,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,615,60,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,690,60,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,765,60,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,915,60,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,840,60,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,690,60,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,765,60,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,615,60,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,840,60,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,1020,120,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,540,60,Benson,BEN,108/110,BEN108/110
3,757,108/110 Classroom,960,60,Benson,BEN,108/110,BEN108/110
3,65,110 Classroom,540,60,Benson,BEN,110,BEN110
3,65,110 Classroom,615,60,Benson,BEN,110,BEN110
3,65,110 Classroom,690,60,Benson,BEN,110,BEN110
3,65,110 Classroom,765,60,Benson,BEN,110,BEN110
3,65,110 Classroom,915,60,Benson,BEN,110,BEN110
3,65,110 Classroom,840,60,Benson,BEN,110,BEN110
3,65,110 Classroom,1020,120,Benson,BEN,110,BEN110
